Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools &amp; Services,44.87B
AA,Alcoa,Metals &amp; Mining,8.19B
AAC,Ares Acquisition,Blank Check / SPAC,1.22B
AACG,ATA Creativity Global,Diversified Consumer Services,47.07M
AACI,Armada Acquisition I,Blank Check / SPAC,202.54M
AADI,Aadi Bioscience,Biotechnology,419.76M
AAIC,Arlington Asset Investment,"Mortgage Real Estate Investment 
Trus...",113.01M
AAL,American Airlines Group,Airlines,10.54B
AAMC,Altisource Asset Management,Real Estate Management &amp; Development,36.79M
AAME,Atlantic American,Insurance,77.85M
AAN,The Aaron's Company,Specialty Retail,689.17M
AAOI,Applied Optoelectronics,Communications Equipment,154.78M
AAON,"AAON, Inc.",Building Products,4.05B
AAP,Advance Auto Parts,Specialty Retail,13.61B
AAPL,Apple,"Technology Hardware, Storage &amp; Periph...","2,703.28B"
AAQC,Accelerate Acquisition,Blank Check / SPAC,486.00M
AAT,American Assets Trust,"Equity Real Estate 
Investment Trusts...",2.05B
AATC,Autoscope Technologies,Scientific &amp; Technical Instruments,35.99M
AAU,Almaden Minerals,Metals &amp; Mining,44.93M
AAWW,Atlas Air Worldwide Holdings,Air Freight &amp; Logistics,2.48B
AB,AllianceBernstein Holding,Capital Markets,4.93B
ABB,ABB Ltd,Electrical Equipment,68.06B
ABBV,AbbVie,Biotechnology,204.91B
ABC,AmerisourceBergen,Health Care Providers &amp; Services,23.74B
ABCB,Ameris Bancorp,Banks,3.35B
ABCL,AbCellera Biologics,Biotechnology,4.11B
ABCM,Abcam,Biotechnology,5.18B
ABEO,Abeona Therapeutics,Biotechnology,61.17M
ABEV,Ambev,Beverages,44.12B
ABG,Asbury Automotive Group,Specialty Retail,3.72B
ABGI,ABG Acquisition I,Blank Check / SPAC,190.04M
ABIO,ARCA biopharma,Biotechnology,32.71M
ABM,ABM Industries,Commercial Services &amp; Supplies,2.95B
ABMD,Abiomed,Health Care Equipment &amp; Supplies,13.91B
